TIME,CH1
-8.042e-06,0.1632
-8.040e-06,0.164
-8.038e-06,0.1536
-8.036e-06,0.1432
-8.034e-06,0.1456
-8.032e-06,0.1576
-8.030e-06,0.1648
-8.028e-06,0.1568
-8.026e-06,0.144
-8.024e-06,0.1416
-8.022e-06,0.1504
-8.020e-06,0.1624
-8.018e-06,0.1592
-8.016e-06,0.1456
-8.014e-06,0.1376
-8.012e-06,0.1472
-8.010e-06,0.1592
-8.008e-06,0.1632
-8.006e-06,0.152
-8.004e-06,0.1416
-8.002e-06,0.1432
-8.000e-06,0.1584
-7.998e-06,0.1656
-7.996e-06,0.1576
-7.994e-06,0.1464
-7.992e-06,0.1432
-7.990e-06,0.1536
-7.988e-06,0.1632
-7.986e-06,0.1616
-7.984e-06,0.148
-7.982e-06,0.1424
-7.980e-06,0.1464
-7.978e-06,0.1592
-7.976e-06,0.1616
-7.974e-06,0.1512
-7.972e-06,0.1416
-7.970e-06,0.1416
-7.968e-06,0.1528
-7.966e-06,0.1616
-7.964e-06,0.156
-7.962e-06,0.1456
-7.960e-06,0.1432
-7.958e-06,0.1504
-7.956e-06,0.1624
-7.954e-06,0.1624
-7.952e-06,0.152
-7.950e-06,0.1408
-7.948e-06,0.1464
-7.946e-06,0.1592
-7.944e-06,0.1648
-7.942e-06,0.156
-7.940e-06,0.1432
-7.938e-06,0.1432
-7.936e-06,0.156
-7.934e-06,0.164
-7.932e-06,0.1576
-7.930e-06,0.1456
-7.928e-06,0.14
-7.926e-06,0.1512
-7.924e-06,0.1608
-7.922e-06,0.1584
-7.920e-06,0.148
-7.918e-06,0.1424
-7.916e-06,0.1488
-7.914e-06,0.1608
-7.912e-06,0.1592
-7.910e-06,0.152
-7.908e-06,0.1456
-7.906e-06,0.1488
-7.904e-06,0.1568
-7.902e-06,0.16
-7.900e-06,0.1544
-7.898e-06,0.1488
-7.896e-06,0.1496
-7.894e-06,0.1536
-7.892e-06,0.1584
-7.890e-06,0.1544
-7.888e-06,0.1496
-7.886e-06,0.1488
-7.884e-06,0.1528
-7.882e-06,0.1552
-7.880e-06,0.1544
-7.878e-06,0.1512
-7.876e-06,0.1504
-7.874e-06,0.1512
-7.872e-06,0.1536
-7.870e-06,0.156
-7.868e-06,0.1536
-7.866e-06,0.1512
-7.864e-06,0.1496
-7.862e-06,0.152
-7.860e-06,0.156
-7.858e-06,0.156
-7.856e-06,0.152
-7.854e-06,0.148
-7.852e-06,0.1528
-7.850e-06,0.156
-7.848e-06,0.1576
-7.846e-06,0.1512
-7.844e-06,0.1456
-7.842e-06,0.1488
-7.840e-06,0.1552
-7.838e-06,0.1584
-7.836e-06,0.1528
-7.834e-06,0.1448
-7.832e-06,0.1488
-7.830e-06,0.1576
-7.828e-06,0.1592
-7.826e-06,0.1552
-7.824e-06,0.148
